modelname,dataset,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
meta-llama/Meta-Llama-3-8B,NPClassifier_superclass,KMeans,orig,0.20809971550369066,0.4627949186531005,,,,
meta-llama/Meta-Llama-3-8B,NPClassifier_superclass,LR,orig,,,0.8430000653893939,0.71179640953003,0.8189042460264815,0.7053111228292466
meta-llama/Meta-Llama-3-8B,NPClassifier_superclass,MLP,orig,,,0.8146864578565357,0.5623301347053347,0.678446920630619,0.541170139346415
meta-llama/Meta-Llama-3-8B,NPClassifier_superclass,KMeans,orig,0.20809971550369066,0.4627949186531005,,,,
meta-llama/Meta-Llama-3-8B,NPClassifier_superclass,LR,orig,,,0.8306087752566533,0.7092230097867256,0.8166479028154752,0.6946615178320529
meta-llama/Meta-Llama-3-8B,NPClassifier_superclass,MLP,orig,,,0.8192964101222782,0.5913535243358039,0.6950501450936466,0.5662315923239044
seyonec/ChemBERTa-zinc-base-v1,NPClassifier_superclass,KMeans,orig,0.18491413796372605,0.44868559391316953,,,,
seyonec/ChemBERTa-zinc-base-v1,NPClassifier_superclass,LR,orig,,,0.847936964624338,0.7472989801692025,0.790503829291341,0.7308251643721148
seyonec/ChemBERTa-zinc-base-v1,NPClassifier_superclass,MLP,orig,,,0.863924671418296,0.7392840950113762,0.8007465708472263,0.7125650242073023
DeepChem/ChemBERTa-77M-MLM,NPClassifier_superclass,KMeans,orig,0.24897021228297778,0.5420895457556286,,,,
DeepChem/ChemBERTa-77M-MLM,NPClassifier_superclass,LR,orig,,,0.8880533577453738,0.8153403913289589,0.8491617605124122,0.7963493665043295
DeepChem/ChemBERTa-77M-MLM,NPClassifier_superclass,MLP,orig,,,0.9292486758647748,0.864768398169446,0.8936100200693298,0.8478388148509529
sentence-transformers/all-mpnet-base-v2,NPClassifier_superclass,KMeans,orig,0.17494784697362636,0.3993756964265116,,,,
sentence-transformers/all-mpnet-base-v2,NPClassifier_superclass,LR,orig,,,0.7500490420453803,0.6082737639303903,0.6922572151676593,0.5737370226390629
sentence-transformers/all-mpnet-base-v2,NPClassifier_superclass,MLP,orig,,,0.8506506244687112,0.7297957302669531,0.7907565966754233,0.6976861819402338
gpt2,NPClassifier_superclass,KMeans,orig,0.07822386099872661,0.27729095898720396,,,,
gpt2,NPClassifier_superclass,LR,orig,,,0.8378016085790885,0.7407874653138572,0.8000550468473523,0.723727751556678
gpt2,NPClassifier_superclass,MLP,orig,,,0.8483946903812202,0.7006274663085582,0.7661115841466036,0.6711491363458995
sentence-transformers/all-MiniLM-L6-v2,NPClassifier_superclass,KMeans,orig,0.1757888039313668,0.425499476751213,,,,
sentence-transformers/all-MiniLM-L6-v2,NPClassifier_superclass,LR,orig,,,0.7359576276727915,0.5786822554452257,0.6692710031947406,0.5423267471943706
sentence-transformers/all-MiniLM-L6-v2,NPClassifier_superclass,MLP,orig,,,0.8573203426404237,0.7531915737993347,0.7989997058995019,0.7307036163543865
